270,Boka,Ivory Coast,defender,90,2,50,5,0
271,Demel,Ivory Coast,defender,180,0,60,6,0
272,Dindane,Ivory Coast,forward,170,1,66,2,0
273,Doumbia,Ivory Coast,forward,11,0,2,0,0
274,Drogba,Ivory Coast,forward,204,8,35,2,0
275,Eboue,Ivory Coast,defender,251,3,126,6,0
276,Gervinho,Ivory Coast,forward,182,5,60,1,0
277,Kader Keita,Ivory Coast,midfielder,94,2,48,2,0
278,Kalou,Ivory Coast,forward,160,4,50,3,0
279,Kolo Toure,Ivory Coast,defender,270,2,88,2,0
280,Romaric,Ivory Coast,midfielder,98,5,82,4,0
281,Tiote,Ivory Coast,midfielder,270,3,148,8,0
282,Tiene,Ivory Coast,defender,180,1,82,7,0
283,Yaya Toure,Ivory Coast,midfielder,270,3,197,5,0
284,Zokora,Ivory Coast,midfielder,270,0,96,5,0
285,Abe,Japan,midfielder,351,0,101,14,0
286,Endo,Japan,midfielder,389,1,147,9,0
287,Hasebe,Japan,midfielder,375,2,125,8,0
288,Honda,Japan,midfielder,390,8,143,5,0
289,Inamoto,Japan,midfielder,3,0,5,0,0
290,Kawashima,Japan,goalkeeper,390,0,54,0,17
291,Kengo Nakamura,Japan,midfielder,39,0,10,0,0
292,Komano,Japan,defender,390,3,115,16,0
293,Konno,Japan,defender,2,0,0,0,0
294,Marcus Tulio Tanaka,Japan,defender,390,5,129,5,0
295,Matsui,Japan,midfielder,273,3,95,4,0
296,Nagatomo,Japan,defender,390,4,68,4,0
297,Nakazawa,Japan,defender,390,1,106,3,0
298,Okazaki,Japan,forward,104,4,15,2,0
299,Okubo,Japan,forward,351,7,68,4,0
300,Shunsuke Nakamura,Japan,midfielder,26,0,18,1,0
301,Tamada,Japan,forward,28,0,9,0,0
302,Yano,Japan,forward,9,0,4,0,0
303,Aguilar,Mexico,defender,55,0,31,2,0
304,Barrera,Mexico,midfielder,149,4,59,2,0
305,Bautista,Mexico,forward,45,0,8,3,0
306,Blanco,Mexico,forward,112,2,60,3,0
307,Castro,Mexico,midfielder,33,0,21,1,0
308,Franco,Mexico,forward,253,4,71,2,0
309,Giovani dos Santos,Mexico,midfielder,360,2,106,4,0
310,Guardado,Mexico,midfielder,142,5,92,2,0
311,Hernandez,Mexico,forward,169,6,37,1,0
312,Juarez,Mexico,defender,235,0,128,6,0
313,Moreno,Mexico,defender,147,0,74,4,0
314,Marquez,Mexico,defender,360,6,244,14,0
315,Osorio,Mexico,defender,360,1,202,14,0
316,Perez,Mexico,goalkeeper,360,0,58,0,13
317,Rodrueguez,Mexico,defender,360,2,212,7,0
318,Salcido,Mexico,defender,360,9,174,15,0
319,Torrado,Mexico,midfielder,360,1,253,22,0
320,Vela,Mexico,forward,100,1,25,1,0
321,Afellay,Netherlands,midfielder,21,5,22,0,0
322,Boulahrouz,Netherlands,defender,180,0,81,8,0
323,Elia,Netherlands,forward,85,2,38,2,0
324,Heitinga,Netherlands,defender,540,0,259,10,0
